Data,Feriado
2038-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2038-11-02 00:00:00,finados
2038-11-15 00:00:00,proclamacao da republica
2038-12-25 00:00:00,natal
2039-01-01 00:00:00,confraternizacao universal
2039-02-21 00:00:00,carnaval
2039-02-22 00:00:00,carnaval
2039-04-08 00:00:00,paixao de cristo
2039-04-21 00:00:00,tiradentes
2039-05-01 00:00:00,dia do trabalho
2039-06-09 00:00:00,corpus christi
2039-09-07 00:00:00,independencia do brasil
2039-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2039-11-02 00:00:00,finados
2039-11-15 00:00:00,proclamacao da republica
2039-12-25 00:00:00,natal
2040-01-01 00:00:00,confraternizacao universal
2040-02-13 00:00:00,carnaval
2040-02-14 00:00:00,carnaval
2040-03-30 00:00:00,paixao de cristo
2040-04-21 00:00:00,tiradentes
2040-05-01 00:00:00,dia do trabalho
2040-05-31 00:00:00,corpus christi
2040-09-07 00:00:00,independencia do brasil
2040-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2040-11-02 00:00:00,finados
2040-11-15 00:00:00,proclamacao da republica
2040-12-25 00:00:00,natal
2041-01-01 00:00:00,confraternizacao universal
2041-03-04 00:00:00,carnaval
2041-03-05 00:00:00,carnaval
2041-04-19 00:00:00,paixao de cristo
2041-04-21 00:00:00,tiradentes
2041-05-01 00:00:00,dia do trabalho
2041-06-20 00:00:00,corpus christi
2041-09-07 00:00:00,independencia do brasil
2041-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2041-11-02 00:00:00,finados
2041-11-15 00:00:00,proclamacao da republica
2041-12-25 00:00:00,natal
2042-01-01 00:00:00,confraternizacao universal
2042-02-17 00:00:00,carnaval
2042-02-18 00:00:00,carnaval
2042-04-04 00:00:00,paixao de cristo
2042-04-21 00:00:00,tiradentes
2042-05-01 00:00:00,dia do trabalho
2042-06-05 00:00:00,corpus christi
2042-09-07 00:00:00,independencia do brasil
2042-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2042-11-02 00:00:00,finados
2042-11-15 00:00:00,proclamacao da republica
2042-12-25 00:00:00,natal
2043-01-01 00:00:00,confraternizacao universal
2043-02-09 00:00:00,carnaval
2043-02-10 00:00:00,carnaval
2043-03-27 00:00:00,paixao de cristo
2043-04-21 00:00:00,tiradentes
2043-05-01 00:00:00,dia do trabalho
2043-05-28 00:00:00,corpus christi
2043-09-07 00:00:00,independencia do brasil
2043-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2043-11-02 00:00:00,finados
2043-11-15 00:00:00,proclamacao da republica
2043-12-25 00:00:00,natal
2044-01-01 00:00:00,confraternizacao universal
2044-02-29 00:00:00,carnaval
2044-03-01 00:00:00,carnaval
2044-04-15 00:00:00,paixao de cristo
2044-04-21 00:00:00,tiradentes
2044-05-01 00:00:00,dia do trabalho
2044-06-16 00:00:00,corpus christi
2044-09-07 00:00:00,independencia do brasil
2044-10-12 00:00:00,nossa sr.a aparecida - padroeira do brasil
2044-11-02 00:00:00,finados
2044-11-15 00:00:00,proclamacao da republica
2044-12-25 00:00:00,natal
2045-01-01 00:00:00,confraternizacao universal
2045-02-20 00:00:00,carnaval
2045-02-21 00:00:00,carnaval
